"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"true_peak_wait[1585]",1.400562089375,1.39213,0.501604706937525,0.532260813,0.58755515,2.241117,1.00180205508778,4866.48872821593,4214.94510276762
"true_peak_wait[1586]",1.4153055816375,1.404095,0.480935826173702,0.503683698,0.6266576,2.21945,1.00081997974441,4967.41866542785,4650.68819250904
"true_peak_wait[1587]",1.6048122143875,1.56483,0.617147639923314,0.611550261,0.68664205,2.690536,1.00133066057624,3349.12034184353,3612.62145371128
"true_peak_wait[1588]",1.5211477757875,1.462955,0.603504333528508,0.667644432,0.60485085,2.572602,0.999947943349359,10638.44865855,5275.79026340055
"true_peak_wait[1589]",1.188132039,1.144085,0.466566182955303,0.4670990604,0.4792146,2.023729,1.00091452784042,12815.7671151048,6018.23990641644
"true_peak_wait[1590]",4.42904642,4.366465,0.612940292920664,0.649719798,3.4885215,5.514075,1.00011969858745,13412.5480935673,5856.37349234748
"true_peak_wait[1591]",1.05616558439725,0.9518505,0.665270974489294,0.6871472937,0.15153455,2.27248,1.00029884177893,9774.32275318333,4343.30679991719
"true_peak_wait[1592]",0.8188580361115,0.8035505,0.482333347067757,0.5693436042,0.086235605,1.644173,1.00185876340408,10227.6115597367,4718.27052604551
"true_peak_wait[1593]",1.2019953072335,1.142165,0.73905594381639,0.9146189052,0.11979585,2.444456,1.00185922132543,9421.20146785147,5071.30641461256
"true_peak_wait[1594]",9998.382675,9998.67,1.00555844576461,0.681995999998706,9996.3,9999.47,1.00080527285596,8475.98308525723,5673.024909653
"true_peak_wait[1595]",1.3252077295375,1.310275,0.477621321024244,0.4987777746,0.5466207,2.118502,1.0018859618989,4911.62831959263,4587.46977197598
"true_peak_wait[1596]",1.347666066975,1.33513,0.476033142174392,0.496559805,0.57880945,2.1491065,1.00159302675758,5437.54886471451,4846.77725374352
"true_peak_wait[1597]",9973.38005375,9973.245,10.8938447237979,14.0772869999998,9956.45,9990.3605,1.00011496893569,10896.4010073877,4604.52351368149
"true_peak_wait[1598]",1.5754365558125,1.533365,0.597869827029093,0.671810538,0.65499565,2.596073,1.00108285176516,11196.0027366641,5298.00229567394
"true_peak_wait[1599]",0.60832961201125,0.5621405,0.371675521008251,0.4005651615,0.09008219,1.289293,1.00079642855207,9816.9841959453,3636.01516955987
"true_peak_wait[1600]",2.5392429075,2.48853,0.602913592761881,0.672158949,1.623432,3.572162,1.00168224531762,10106.243233985,5249.01174376471
"true_peak_wait[1601]",0.9388574124275,0.9338915,0.47269695514465,0.5524427055,0.1783706,1.7222505,1.00030142199308,12199.8691327345,5812.06696629511
"true_peak_wait[1602]",9973.54721125,9973.61,10.9257222844214,13.7659409999998,9956.25,9990.541,1.00016340248595,11208.8972216808,4330.30841381437
"true_peak_wait[1603]",3.22009570091672,2.30168,3.03826512869316,2.2140562773,0.2142193,9.327109,0.999989781642259,6814.24122973074,3955.92690839825
"true_peak_wait[1604]",9998.35075375,9998.66,1.07040415964908,0.711647999999353,9996.17,9999.46,1.00044662913618,7656.40773612374,5484.29543989961
"true_peak_wait[1605]",1.402258924,1.389415,0.49746311032913,0.51935478,0.606731,2.2476625,1.0005200530329,5143.8500295595,3724.46101239071
"true_peak_wait[1606]",1.410131771875,1.408035,0.487989145504126,0.517968549,0.6223326,2.2234195,1.00189877680641,5304.52754777959,4960.71582903493
"true_peak_wait[1607]",1.59559204275,1.549465,0.623012731542594,0.614263419,0.6592832,2.6804645,1.00111077073742,3494.97240533627,3616.47309398416
"true_peak_wait[1608]",0.86037578236,0.8305005,0.474208883569924,0.5515264587,0.1436822,1.6796045,1.00066516971098,10965.8258229038,5463.59945635674
"true_peak_wait[1609]",0.73717950149125,0.689559,0.446804112349899,0.5047111398,0.1014179,1.5489225,1.0003675568902,10463.8394801653,5437.52125631459
"true_peak_wait[1610]",1.542038442525,1.502855,0.605346011590688,0.681973761,0.61817215,2.5858495,1.00077401022499,10765.6298450638,5787.19835752141
"true_peak_wait[1611]",0.839191955004625,0.8129055,0.457433956809744,0.5184340854,0.13489895,1.6324665,1.00010893273767,10858.7724651927,5325.6455623163
"true_peak_wait[1612]",0.560889288347,0.4963275,0.393384788216756,0.4225217262,0.04731103,1.303828,1.00101177842205,9700.81377535523,4616.67816778079
"true_peak_wait[1613]",3.2822886405675,2.362195,3.05942875887985,2.2335050241,0.2630999,9.3161965,0.999999622545968,7027.30501214962,3688.99080323274
"true_peak_wait[1614]",9973.2330925,9973.065,10.8825180409364,13.8400709999987,9956.26,9990.3505,1.00001667549663,12194.5075381847,5076.5160439471
"true_peak_wait[1615]",1.314623852225,1.306925,0.474694176400108,0.4971958404,0.55163445,2.1147855,1.00118488195448,4361.21670001402,3405.89681048523
"true_peak_wait[1616]",1.320712133175,1.30141,0.477529853480215,0.4932506418,0.556925,2.126151,1.00124472835833,6172.35990982513,5352.02229164559
"true_peak_wait[1617]",1.4870119282,1.44856,0.57077497199532,0.55864368,0.6198508,2.4754415,1.00086248104037,3023.80737274301,3966.97728405737
"true_peak_wait[1618]",1.5363738946625,1.480365,0.592057412233943,0.661484229,0.6309191,2.5718025,1.00071762886819,10733.6575687168,5797.41618567764
"true_peak_wait[1619]",1.207997141625,1.170625,0.470768354854105,0.471933819,0.46452175,2.037211,1.00050187677794,9986.23238874045,5979.29792533272
"true_peak_wait[1620]",0.9125982091775,0.89043,0.487314275523686,0.5821740246,0.15128685,1.725553,1.00036478723966,11483.4980590622,5057.65964353318
"true_peak_wait[1621]",0.89951760421375,0.8881275,0.467932461720493,0.5399725569,0.1646553,1.6910305,1.00065905171685,10454.2121865418,5496.61509003707
"true_peak_wait[1622]",0.762934073719812,0.7268155,0.478242266982355,0.5603924067,0.07025047,1.597066,1.00024614894952,10791.6632547585,4755.6177479331
"true_peak_wait[1623]",9975.45428625,9975.64,12.1171011222987,15.5005829999985,9956.52,9994.2,1.00135308441114,10930.2413680637,4442.2136868429
"true_peak_wait[1624]",9973.2216525,9973.36,10.9849951392352,14.1291779999996,9956.1195,9990.3805,1.00046783752693,11818.5147918907,4314.56645781712
"true_peak_wait[1625]",1.539255884375,1.476385,0.511268764911211,0.502682943,0.8287172,2.4769155,1.0011546248984,4433.78375377286,5982.80159587948
"true_peak_wait[1626]",1.4144029257625,1.41528,0.500690332800058,0.528517248,0.59455995,2.240198,1.00108086540632,5732.03657928923,5163.06243198243
"true_peak_wait[1627]",1.5854905006875,1.546025,0.621281879683494,0.614174463,0.62820175,2.66142,1.00021609737353,4233.65364117478,4367.07003768733
"true_peak_wait[1628]",1.5196164695875,1.47482,0.601096092702387,0.672107058,0.6056034,2.559328,1.00116855498535,11801.7311116805,5375.15582928566
"true_peak_wait[1629]",0.73204881747625,0.679003,0.444813507693742,0.4940438328,0.10273175,1.5464745,1.00073174051832,9776.29771644222,5122.49965330594
